name,url,url_ok,user_id,new_url
Lamar Alexander,https://twitter.com/senalexander,True,76649729,
Michael B. Enzi,https://twitter.com/senatorenzi,True,291756142,
Pat Roberts,https://twitter.com/senpatroberts,True,75364211,
Tom Udall,https://twitter.com/senatortomudall,True,60828944,
Justin Amash,https://twitter.com/justinamash,True,233842454,
Rob Bishop,https://twitter.com/reprobbishop,True,148006729,
Wm. Lacy Clay,,,,
K. Michael Conaway,https://twitter.com/conawaytx11,True,295685416,
Susan A. Davis,https://twitter.com/repsusandavis,False,432771620,
Eliot L. Engel,https://twitter.com/repeliotengel,True,164007407,
Bill Flores,https://twitter.com/repbillflores,False,237312687,
Cory Gardner,https://twitter.com/sencorygardner,True,235217558,
Peter T. King,https://twitter.com/reppeteking,True,18277655,
Steve King,https://twitter.com/stevekingia,True,48117116,
Daniel Lipinski,https://twitter.com/replipinski,True,1009269193,
David Loebsack,https://twitter.com/daveloebsack,True,510516465,
Nita M. Lowey,https://twitter.com/nitalowey,True,221792092,
Kenny Marchant,https://twitter.com/repkenmarchant,True,23976316,
Pete Olson,https://twitter.com/reppeteolson,True,20053279,
Collin C. Peterson,,,,
Martha Roby,https://twitter.com/repmartharoby,False,224294785,https://twitter.com/MarthaRobyAL
David P. Roe,https://twitter.com/drphilroe,True,52503751,
"F. James Sensenbrenner, Jr.",https://twitter.com/jimpressoffice,False,851621377,
José E. Serrano,https://twitter.com/repjoseserrano,True,33563161,
John Shimkus,https://twitter.com/repshimkus,True,15600527,
Mac Thornberry,https://twitter.com/mactxpress,True,377534571,
Scott R. Tipton,https://twitter.com/reptipton,True,242873057,
Peter J. Visclosky,https://twitter.com/repvisclosky,True,193872188,
Greg Walden,https://twitter.com/repgregwalden,True,32010840,
Rob Woodall,https://twitter.com/reprobwoodall,True,2382685057,
Ted S. Yoho,https://twitter.com/reptedyoho,True,1071900114,
Doug Collins,https://twitter.com/repdougcollins,True,1060487274,
Tulsi Gabbard,https://twitter.com/tulsipress,True,1064206014,
Susan W. Brooks,https://twitter.com/susanwbrooks,True,1074101017,
Joseph P. Kennedy III,https://twitter.com/repjoekennedy,False,1055907624,https://twitter.com/joekennedy
George Holding,https://twitter.com/repholding,True,1058460818,
Denny Heck,https://twitter.com/repdennyheck,False,1068499286,https://twitter.com/LtGovDennyHeck
Bradley Byrne,https://twitter.com/repbyrne,True,2253968388,
Ralph Lee Abraham,https://twitter.com/repabraham,True,2962891515,
Will Hurd,https://twitter.com/hurdonthehill,True,2963445730,
David Perdue,https://twitter.com/sendavidperdue,True,2863210809,
Mark Walker,https://twitter.com/repmarkwalker,True,2966205003,
Francis Rooney,https://twitter.com/reprooney,True,816111677917851649,
Paul Mitchell,https://twitter.com/reppaulmitchell,True,811632636598910976,
Greg Gianforte,,,,
Doug Jones,https://twitter.com/sendougjones,True,941080085121175552,
TJ Cox,https://twitter.com/reptjcox,True,1080875913926139910,
"Gilbert Ray Cisneros, Jr.",https://twitter.com/repgilcisneros,True,1080986167003230208,
Harley Rouda,https://twitter.com/repharley,True,1075080722241736704,
Ross Spano,https://twitter.com/reprossspano,True,1090328229548826627,
Debbie Mucarsel-Powell,https://twitter.com/repdmp,True,1080941062028447744,
Donna E. Shalala,https://twitter.com/repshalala,False,1060584809095925762,
Abby Finkenauer,https://twitter.com/repfinkenauer,True,1081256295469068288,
Steve Watkins,https://twitter.com/rep_watkins,False,1080307235350241280,
Xochitl Torres Small,https://twitter.com/reptorressmall,True,1080830346915209216,
Max Rose,https://twitter.com/repmaxrose,True,1078692057940742144,
Anthony Brindisi,https://twitter.com/repbrindisi,True,1080978331535896576,
Kendra S. Horn,https://twitter.com/repkendrahorn,False,1083019402046513152,https://twitter.com/KendraSHorn
Joe Cunningham,https://twitter.com/repcunningham,True,1080198683713507335,
Ben McAdams,https://twitter.com/repbenmcadams,False,196362083,https://twitter.com/BenMcAdamsUT
Denver Riggleman,https://twitter.com/repriggleman,True,1080504024695222273,
